Алтайский край,http://konkurs.ppms22.ru/vserossiyskaya-olimpiada-shkolnikov.php/,,,,,
Амурская область,https://obr.amurobl.ru/pages/vserossiyskaya-olimpiada-shkolnikov/vserossiyskaya-olimpiada-shkolnikov-2023-24uchebnyy-god/regionalnyy-etap/,,,,,
Архангельская область,https://www.arkh-edu.ru/olympics/vo/list.php?SECTION_ID=15359,,,,,
Астраханская область,https://minobr.astrobl.ru/deyatelnost/vserossiiskaia-olimpiada-skolnikov-1/regionalnyi-etap,,,,,
Белгородская область,http://uobr.ru/vserossiyskaya-olimpiada-shkolnikov/,,,,,
Брянская область,http://newhq.b-edu.ru/deyatelnost/obrazovanie/vserossijskaya-olimpiada-shkolnikov/,,,,,http://newhq.b-edu.ru/deyatelnost/obrazovanie/vserossijskaya-olimpiada-shkolnikov/rezultatyi-vsosh/
Владимирская область,https://viro33.ru/deyatelnost/dopolnitelnoe-obrazovanie-detey/meropriyatiya-dlya-obuchayushchikhsya/regionalnyy-etap.php,,,,,
Волгоградская область,http://www.volgadmin.ru/d/branches/obr/olimp,,,,,
Вологодская область,Региональный этап — Результаты — 2023/24год — Всероссийская олимпиада школьников (viro.edu.ru),,,https://olymp.viro.edu.ru/?p=6899,,9 февраля (?)
Воронежская область,https://vsosh-vrn.orioncentr.ru/wp-content/uploads/2023-2024/reg/protocol/itog/economic(1).pdf,,,,,
город Москва,,,,,,
город Санкт-Петербург,https://olymp.academtalant.ru/economics,https://olymp.academtalant.ru/economics,,,,
Город Севастополь,https://www.sev-iro.ru/contest/vserossiyskaya-olimpiada-shkolnikov.html,,,,,
Еврейская автономная область,http://coko-eao.ru/index.php?option=com_k2&view=itemlist&layout=category&task=category&id=32&Itemid=33,,,,,
Забайкальский край,,,,,,
Ивановская область,https://iv-edu.ru/olympiad/regional-stage/protocols/,,,,,
Иркутская область,https://perseusirk.ru/vsosh,,,,,
Кабардино-Балкарская Республика,https://olymp07.ru/?Page=news&rID=0,,,,,
Калининградская область,Экономика_итог.pdf (baltinform.ru),,,,,
Калужская область,https://vsosh-kaluga.ru/dokumentyre23/2324/programmy/predrez/predvaritelnye_rezultaty_vsosh_2023-24_reh_ehkonom.xlsx,,,http://vsosh-kaluga.ru/,,
Камчатский край,http://evrika41.ru/olimpic/olimpresult/ekonomika,,,,,
Кемеровская область,Региональный этап (kemsirius.ru),,,,,
Кировская область,http://olimp43.ru/news/economy/2022_2023/regionalstage,,,Олимпиады Кировской Области | Новости (olimp43.ru),,
Костромская область,http://www.cdoosh-k.ru/index.php/meropriyatiya/vserossijskaya-olimpiada-shkolnikov/regionalnyj-etap/266-2023-2024-uchebnyj-god/1428-regionalnyj-etap-ekonomika,,,,,
Краснодарский край,http://www.crokk.ru/pages/olimp/russia/itog_vedomost_re.html,,,,,
Красноярский край,https://krao.ru/dokumentyi/drugie/vserossijskaya-olimpiada-shkolnikov/regionalnyij-etap-vserossijskoj-olimpiadyi-shkolnikov/rezultatyi-regionalnogo-etapa-vserossijskoj-olimpiadyi-shkolnikov/,,,,,
Курганская область,http://don.kurganobl.ru/,,,,,
Курская область,http://www.komobr46.ru/vserossijskaya-olimpiada-shkolnikov.html,,,,,
Ленинградская область,http://center-intellect.ru/vsosh/rezultaty-region/,https://docs.yandex.ru/docs/view?url=ya-disk-public%3A%2F%2FG0IljdYEh4JXZ70gnapqp61uv8W7VXgldCq%2Bomt7BLIRY6GtAG1KXK9rcCOCDotRq%2FJ6bpmRyOJonT3VoXnDag%3D%3D%3A%2F2024_%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3%20%D1%82%D0%B0%D0%B1%D0%BB_%D0%AD%D0%9A%D0%9E%D0%9D%D0%9E%D0%9C%D0%98%D0%9A%D0%90.xls&name=2024_%D0%A0%D0%B5%D0%B9%D1%82%D0%B8%D0%BD%D0%B3%20%D1%82%D0%B0%D0%B1%D0%BB_%D0%AD%D0%9A%D0%9E%D0%9D%D0%9E%D0%9C%D0%98%D0%9A%D0%90.xls&nosw=1,,,,
Липецкая область,http://olimpiada48.ru/,,,,,
Магаданская область,https://minobr.49gov.ru/activities/main_activities/competition/#%D0%92%D0%A1%D0%9E%D0%A8,,,,,
Московская область,https://olympmo.ru/vos-reg-2022-2023.html,,,,,
Мурманская область,https://talented51.ru/olimpiady/vserossijskaya-olimpiada-shkolnikov/regionalnyj-etap/normativnie-documenti-regionalnyj-etap/itogi/,,,,,
Ненецкий автономный округ,https://cronao.ru/odarjonnye-deti/vsoiiii/protokoly-regionalnogo-etapa-vsosh-2016-2017-uchebnyj-god,,,,,
Нижегородская область,https://vega52.ru/children-and-parents/olimpiadnoe-dvizhenie/vsosh#nav-245-tab,,,,,
Новгородская область,https://dpo53.ru/pages/regionalnyy-etap-20212022,,,,,
Новосибирская область,http://olymp.detinso.ru/%d0%bc%d1%83%d0%bd%d0%b8%d1%86%d0%b8%d0%bf%d0%b0%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d1%8d%d1%82%d0%b0%d0%bf-%d0%b2%d1%81%d0%be%d1%88_2021-22/,Региональный этап - Центр олимпиадного движения (detinso.ru),,,,
Омская область,https://talant55.irooo.ru/vosh-2015-16-uchebnogo-goda/vsosh-2022-23-uchebnogo-goda/regional-nyj-etap-2/285-9-11-klassy-8-klass-matematika-7-8-klass-fizika/1343-prokhodnye-bally-spiski-uchastnikov-rezul-taty-re-vsosh-2022-23-uchebnogo-goda,,,,,
Оренбургская область,Деятельность / Министерство образования Оренбургской области (orb.ru),,,,,
Орловская область,http://orel-edu.ru/?page_id=71004,,,,,
Пензенская область,https://minobr.pnzreg.ru/taill/vserossiyskaya-olimpiada-shkolnikov/rezultaty-vserossiyskoy-olimpiady-shkolnikov-v-penzenskoy-oblasti/,,,,,
Пермский край,https://regionolymp.ru/%d0%b2%d1%81%d0%be%d1%88/,,,,,
Приморский край,https://edu.primorsky.ru/children_and_parents/vserossiyskaya-olimpiada-shkolnikov/protokoly-regionalnogo-etapa-vserossiyskoy-olimpiady-shkolnikov/,,,,,
Псковская область,http://genius.pskovedu.ru/page/olympiad,,,,,
Республика Адыгея,http://adygheya.ru/ministers/departments/ministerstvo-obrazovaniya-i-nauki/odarennye/vserossiyskaya.php?PAGEN_1=1,,,,,
Республика Алтай,http://dopcenter-altai.ru/index.php/vserossijskaya-olimpiada-shkolnikov,,,,,
Республика Башкортостан ,https://avroracenter.com/20405-2/,,ВЫЛОЖИЛИ БЕЗ БАЛЛОВ,,,
Республика Бурятия,http://www.burinko.ru/page.php?219,,,,,
Республика Дагестан,http://www.dagminobr.ru/deiatelnost/konkursi/olimpiadi/vserossiyskaya_olimpiada_shkolnikov_20212022,,,,,
Республика Ингушетия,https://minobr06.ru/,,,,,
Республика Калмыкия,https://rcdt-rk.ru/olimpiady/vosh/olimpiada-2022-2023,,,,,
Республика Карачаево-Черкессия,https://minobrkchr.ru/razdel/rezulqtaty.php?clear_cache=Y,,,,,
Республика Карелия,"https://kiro-karelia.ru/olimpiada/2022-2023/regional
",,,,,
Республика Коми,http://talant.kriro.ru/%D0%B2%D0%BE%D1%88/%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D1%8D%D1%82%D0%B0%D0%BF/,,,,,
Республика Крым,https://www.krippo.ru/index.php/olimpiadu-i-konkyrsu/14-moduli/2210-13-01-22-1,,,,,
Республика Марий Эл,http://edu.mari.ru/school/DocLib4/Forms/AllItems.aspx?RootFolder=%2Fschool%2FDocLib4%2F2017-2018%20%D1%83%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B9%20%D0%B3%D0%BE%D0%B4%2F%D0%A0%D0%B5%D0%B7%D1%83%D0%BB%D1%8C%D1%82%D0%B0%D1%82%D1%8B%20%D1%80%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B3%D0%BE%20%D1%8D%D1%82%D0%B0%D0%BF%D0%B0%20%D0%92%D0%A1%D0%9E%D0%A8&View=%7b4716A393-492D-41AB-A81C-9C4411754A64%7d&PageView=Shared,,,,,
Республика Мордовия,https://pedagog13.edurm.ru/regionalnyj-etap,,,,,
Республика Саха (Якутия),https://lensky-kray.ru/index.php?r=projectspages/view&id=361,,,,,
Республика Северная Осетия-Алания,https://vertex15.ru/%D0%92%D1%81%D0%9E%D0%A8,,,,,
Республика Татарстан,https://edu.tatar.ru/aviastroit/org5639/page4020059.htm,,,,,
Республика Тыва,https://vsosh.rtyva.ru/index.php/home?layout=edit&id=164,,,,,
Республика Хакасия,https://ipk19.ru/index.php/olinpiady2/vserossijskie-olimpiady,,,,,
Ростовская область,https://rcoi61.ru/rezultaty-re-vsosh-2024,,,,,
Рязанская область,https://minobr.ryazangov.ru/olympiad/,,,,,
Самарская область,https://iro63.ru/detskaya-odarennost/olimpiady/vserossiyskaya-olimpiada-shkolnikov-2023-2024-gg/,,,,,
Саратовская область,https://olymp.soiro.ru/node/14,,,,,
Сахалинская область,https://www.rcoko65.ru/?q=node/1389,,,,,
Свердловская область,https://zsfond.ru/vsosh/regionalnyj-etap/ekonomika-regionalnyj-etap/,ekonomika-2024-itogovyj.pdf (zsfond.ru),,,,
Смоленская область,http://edu67.ru/deiatelnost/odarennye-deti/vserossijskaya-olimpiada-shkolnikov-22-23/regionalnyj-etap-vserossijskoj-olimpiady-shkolnikov/protokoly-zhyuri/,,,,,
Ставропольский край,http://stavminobr.ru/activities/doshkolnoe-i-obshhee-obrazovanie/regionalnyij-etap/itogi-regionalnogo-etapa-2021/22-goda.html,,,,,
Тамбовская область,https://olympiada.68edu.ru/%d0%b2%d0%b5%d0%b4%d0%be%d0%bc%d0%be%d1%81%d1%82%d1%8c-%d0%be%d1%86%d0%b5%d0%bd%d0%b8%d0%b2%d0%b0%d0%bd%d0%b8%d1%8f-%d0%be%d0%bb%d0%b8%d0%bc%d0%bf%d0%b8%d0%b0%d0%b4%d0%bd%d1%8b%d1%85-%d1%80%d0%b0-2/,,,,,
Тверская область,https://xn--90anlffn.xn--80aaccp4ajwpkgbl4lpb.xn--p1ai/deyatelnost-iogv/napravleniya/olimpiada-shkolnikov/regionalnyy-i-munitsipalnyy-etap-vserossiyskoy-olimpiady-shkolnikov-v-2021-2022-uchebnom-godu/,https://xn--90anlffn.xn--80aaccp4ajwpkgbl4lpb.xn--p1ai/deyatelnost-iogv/napravleniya/olimpiada-shkolnikov/vsosh-2023-2024/reg-etap-vsosh-2023-2024/rezultaty-vsosh/rezultaty/,,,,
Томская область,https://toipkro.ru/,,,,,
Тульская область,https://education.tularegion.ru/activities/razvitie-obshchego-obrazo42/vserossiyskaya-olimpiada-shkolnikov/,https://education.tularegion.ru/activities/razvitie-obshchego-obrazo42/vserossiyskaya-olimpiada-shkolnikov/sroki-provedeniya-i-itogi-2024-goda/,,,,
Тюменская область,https://np.fmschool72.ru/olimpiadi/vsosh/regionalnii-etap,2-9 ФЕВРАЛЯ,,,,
